nama_item_vertical_variabel;data_content;neighbour
ACEH;290337;SUMATERA UTARA
SUMATERA UTARA;423465;ACEH, RIAU, SUMATERA BARAT
SUMATERA BARAT;226377;SUMATERA UTARA, RIAU, JAMBI, BENGKULU
RIAU;71910;SUMATERA UTARA, SUMATERA BARAT, JAMBI
JAMBI;94735;RIAU, SUMATERA BARAT, BENGKULU, SUMATERA SELATAN
SUMATERA SELATAN;620632;JAMBI, BENGKULU, LAMPUNG
BENGKULU;85131;SUMATERA BARAT, JAMBI, SUMATERA SELATAN, LAMPUNG
LAMPUNG;377463;SUMATERA SELATAN, BENGKULU
KEP. BANGKA BELITUNG;10654;
KEP. RIAU;246;
DKI JAKARTA;650;BANTEN, JAWA BARAT
JAWA BARAT;912794;DKI JAKARTA, BANTEN, JAWA TENGAH
JAWA TENGAH;965262;DI YOGYAKARTA, JAWA BARAT, JAWA TIMUR
DI YOGYAKARTA;53553;JAWA TENGAH
JAWA TIMUR;1091752;JAWA TENGAH
BANTEN;199492;DKI JAKARTA, JAWA BARAT
BALI;75922;
NUSA TENGGARA BARAT;264666;
NUSA TENGGARA TIMUR;177238;
KALIMANTAN BARAT;330724;KALIMANTAN TIMUR, KALIMANTAN TENGAH
KALIMANTAN TENGAH;196553;KALIMANTAN TIMUR, KALIMANTAN BARAT, KALIMANTAN SELATAN
KALIMANTAN SELATAN;450152;KALIMANTAN TENGAH, KALIMANTAN TIMUR
KALIMANTAN TIMUR;57000;KALIMANTAN BARAT, KALIMANTAN TENGAH, KALIMANTAN SELATAN, KALIMANTAN UTARA
KALIMANTAN UTARA;21448;KALIMANTAN TIMUR
SULAWESI UTARA;55820;GORONTALO, SULAWESI TENGAH
SULAWESI TENGAH;128323;SULAWESI BARAT, SULAWESI SELATAN, SULAWESI TENGGARA, GORONTALO
SULAWESI SELATAN;628148;SULAWESI BARAT, SULAWESI TENGAH, SULAWESI TENGGARA
SULAWESI TENGGARA;103812;SULAWESI TENGAH, SULAWESI SELATAN
GORONTALO;32058;SULAWESI TENGAH, SULAWESI UTARA
SULAWESI BARAT;61292;SULAWESI TENGAH, SULAWESI SELATAN
MALUKU;13394;
MALUKU UTARA;11802;
PAPUA BARAT;10126;PAPUA
PAPUA;44462;PAPUA BARAT
